champion,release_date,last_patch,num_skins,win_rate,ban_rate,pick_rate,date_data
Nidalee,2009-12-17,7.22,9,44.58%,0.32%,3.26%,2019-07-17
Nocturne,2011-03-15,8.13,6,51.08%,0.77%,3.30%,2019-07-17
Nunu,2009-02-21,9.5,8,53.80%,3.37%,5.71%,2019-07-17
Olaf,2010-06-09,9.4,7,49.28%,1.27%,3.78%,2019-07-17
Orianna,2011-06-01,8.16,8,48.69%,0.39%,3.87%,2019-07-17
Ornn,2017-08-23,9.13,1,48.78%,0.20%,2.13%,2019-07-17
Pantheon,2010-02-02,8.14,8,50.17%,2.49%,4.48%,2019-07-17
Poppy,2010-01-13,8.12,9,48.34%,0.65%,3.39%,2019-07-17
Pyke,2018-05-31,9.13,3,48.56%,18.94%,12.78%,2019-07-17
Qiyana,2019-06-28,9.13,1,44.15%,14.92%,9.85%,2019-07-17
Quinn,2013-03-01,9.4,4,48.54%,0.56%,2.10%,2019-07-17
Rakan,2017-04-19,9.9,4,51.60%,0.32%,4.46%,2019-07-17
Rammus,2009-07-10,9.11,8,50.31%,9.70%,4.05%,2019-07-17
Rek'Sai,2014-12-11,9.9,2,49.57%,1.38%,2.46%,2019-07-17
Renekton,2011-01-18,9.9,10,49.56%,9.06%,9.53%,2019-07-17
Rengar,2012-08-21,9.4,5,48.33%,8.13%,9.73%,2019-07-17
Riven,2011-09-14,9.10,9,50.43%,8.41%,10.18%,2019-07-17
Rumble,2011-04-26,9.7,4,52.45%,0.74%,4.07%,2019-07-17
Ryze,2009-02-21,9.12,10,46.55%,1.28%,5.49%,2019-07-17
Sejuani,2012-01-17,9.13,8,49.05%,4.27%,6.58%,2019-07-17
Shaco,2009-10-10,9.10,8,49.97%,2.42%,4.43%,2019-07-17
Shen,2010-03-24,9.9,7,49.33%,0.26%,4.87%,2019-07-17
Shyvana,2011-11-01,9.2,6,50.19%,0.46%,2.98%,2019-07-17
Singed,2009-04-18,9.8,9,51.78%,0.36%,2.32%,2019-07-17
Sion,2009-02-21,9.3,5,49.83%,0.19%,2.41%,2019-07-17
Sivir,2009-02-21,9.13,11,52.30%,16.23%,14.50%,2019-07-17
Skarner,2011-08-09,9.5,4,48.71%,0.21%,1.07%,2019-07-17
Sona,2010-09-21,9.13,8,51.08%,1.19%,7.23%,2019-07-17
Soraka,2009-02-21,9.10,9,50.71%,1.67%,5.84%,2019-07-17
Swain,2010-10-05,8.14,4,49.14%,0.74%,4.27%,2019-07-17
Sylas,2019-01-25,9.13,1,45.24%,9.06%,10.84%,2019-07-17
Syndra,2012-09-13,9.13,6,49.12%,0.38%,2.57%,2019-07-17
Tahm Kench,2015-07-09,9.9,3,49.77%,28.71%,5.64%,2019-07-17
Taliyah,2016-05-18,8.23,2,49.67%,0.24%,2.28%,2019-07-17
Talon,2011-08-24,8.14,6,49.79%,4.97%,6.67%,2019-07-17
Taric,2009-08-19,8.17,4,54.38%,0.36%,2.41%,2019-07-17
Teemo,2009-02-21,8.24,10,51.53%,7.86%,8.24%,2019-07-17
Thresh,2013-01-23,9.4,6,49.11%,7.39%,17.05%,2019-07-17
Tristana,2009-02-21,9.13,10,50.62%,1.44%,9.36%,2019-07-17
Trundle,2010-12-01,9.8,5,48.81%,0.22%,2.25%,2019-07-17
Tryndamere,2009-05-01,9.12,9,50.59%,9.19%,9.36%,2019-07-17
