champion,days_old,num_last_patch,num_skins,win_rate,ban_rate,pick_rate
Skarner,2898,8,4,0.5094,0.0023,0.0106
Sona,3220,0,8,0.5146999999999999,0.0123,0.0768
Soraka,3797,12,9,0.515,0.014199999999999999,0.0604
Swain,3206,24,4,0.5018,0.0044,0.0327
Sylas,172,0,1,0.4547,0.0885,0.1166
Syndra,2497,0,6,0.4865,0.0033,0.025099999999999997
Tahm Kench,1468,4,3,0.4993,0.29460000000000003,0.0587
Taliyah,1154,15,2,0.5079,0.0022,0.022400000000000003
Talon,2883,24,6,0.4999,0.0499,0.061200000000000004
Taric,3618,21,4,0.5273,0.0034000000000000002,0.0248
Teemo,3797,14,10,0.5155,0.0776,0.0814
Thresh,2365,9,6,0.4861,0.0711,0.17010000000000003
Tristana,3797,0,10,0.5002,0.0141,0.0974
Trundle,3149,5,5,0.49200000000000005,0.0028000000000000004,0.0226
Tryndamere,3728,1,9,0.5162,0.09359999999999999,0.0925
Twisted Fate,3797,9,11,0.4763,0.0034000000000000002,0.0451
Twitch,3728,24,9,0.5085000000000001,0.0178,0.0728
Udyr,3513,0,4,0.5221,0.057800000000000004,0.0546
Urgot,3248,6,4,0.5195000000000001,0.0276,0.0435
Varus,2625,9,7,0.4769,0.0029,0.051
Vayne,2989,12,10,0.5011,0.0857,0.1416
Veigar,3644,19,9,0.4987,0.0356,0.09230000000000001
Vel'Koz,1965,24,3,0.5236999999999999,0.0161,0.0721
Vi,2400,8,7,0.5328,0.0385,0.0802
Viktor,2756,14,4,0.5005,0.0026,0.0223
Vladimir,3276,25,8,0.48460000000000003,0.1325,0.0771
Volibear,2786,4,5,0.5257000000000001,0.0176,0.0676
Warwick,3797,2,10,0.5168,0.0165,0.06849999999999999
Wukong,2912,9,6,0.5088,0.0048,0.0322
Xayah,818,7,3,0.5182,0.009300000000000001,0.0704
Xerath,2841,29,4,0.5186999999999999,0.015300000000000001,0.061200000000000004
Xin Zhao,3290,12,8,0.5015,0.0138,0.0499
Yasuo,2041,9,6,0.4978,0.4238,0.1912
Yorick,2946,8,4,0.5168,0.0178,0.0319
Yuumi,63,1,1,0.4841,0.45289999999999997,0.1316
Zac,2300,1,3,0.5085000000000001,0.0067,0.0302
Zed,2436,5,6,0.5047,0.40490000000000004,0.1168
Ziggs,2722,1,7,0.5119,0.0019,0.0218
Zilean,3741,29,5,0.5124,0.0121,0.0393
Zoe,602,7,2,0.48119999999999996,0.0408,0.0352
Zyra,2548,12,4,0.5262,0.0392,0.056900000000000006
